=========================================
RUN METADATA
=========================================
--- MongoDB ---
id   pipeline_name   run_id                    query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4    MongoDB         mongodb-20260428-151122   query1       0.887            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:53.0   
5    MongoDB         mongodb-20260428-151122   query2       2.405            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:56.0   
6    MongoDB         mongodb-20260428-151122   query3       1.04             50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:57.0   

--- MapReduce ---
id   pipeline_name   run_id                      query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1    MapReduce       mapreduce-20260428-151021   query1       5.655            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:43.0   
2    MapReduce       mapreduce-20260428-151021   query2       5.266            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:49.0   
3    MapReduce       mapreduce-20260428-151021   query3       5.235            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:54.0   

--- ApachePig ---
N/A

--- ApacheHive ---
N/A


=========================================
QUERY 1 RESULTS (Daily Traffic Summary)
=========================================
--- MongoDB ---
id    pipeline_name   run_id                    execution_time   log_date     status_code   request_count   total_bytes   
443   MongoDB         mongodb-20260428-151122   0.887            1995-08-03   200           37934           732897871     
444   MongoDB         mongodb-20260428-151122   0.887            1995-08-03   302           671             55734         
445   MongoDB         mongodb-20260428-151122   0.887            1995-08-03   304           2479            0             
446   MongoDB         mongodb-20260428-151122   0.887            1995-08-03   404           304             0             
447   MongoDB         mongodb-20260428-151122   0.887            1995-08-04   200           54336           1109677963    
448   MongoDB         mongodb-20260428-151122   0.887            1995-08-04   302           848             72923         
449   MongoDB         mongodb-20260428-151122   0.887            1995-08-04   304           4026            0             
450   MongoDB         mongodb-20260428-151122   0.887            1995-08-04   403           1               0             
451   MongoDB         mongodb-20260428-151122   0.887            1995-08-04   404           346             0             
452   MongoDB         mongodb-20260428-151122   0.887            1995-08-05   200           29337           613566079     
453   MongoDB         mongodb-20260428-151122   0.887            1995-08-05   302           507             43375         
454   MongoDB         mongodb-20260428-151122   0.887            1995-08-05   304           1811            0             
455   MongoDB         mongodb-20260428-151122   0.887            1995-08-05   403           2               0             
456   MongoDB         mongodb-20260428-151122   0.887            1995-08-05   404           236             0             
457   MongoDB         mongodb-20260428-151122   0.887            1995-08-06   200           29689           634069211     
458   MongoDB         mongodb-20260428-151122   0.887            1995-08-06   302           551             46098         
459   MongoDB         mongodb-20260428-151122   0.887            1995-08-06   304           1806            0             
460   MongoDB         mongodb-20260428-151122   0.887            1995-08-06   403           1               0             
461   MongoDB         mongodb-20260428-151122   0.887            1995-08-06   404           373             0             
462   MongoDB         mongodb-20260428-151122   0.887            1995-08-07   200           51876           957776793     
463   MongoDB         mongodb-20260428-151122   0.887            1995-08-07   302           828             68237         
464   MongoDB         mongodb-20260428-151122   0.887            1995-08-07   304           4119            0             
465   MongoDB         mongodb-20260428-151122   0.887            1995-08-07   403           2               0             
466   MongoDB         mongodb-20260428-151122   0.887            1995-08-07   404           537             0             
467   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   200           54202           1063126596    
468   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   302           921             77352         
469   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   304           4629            0             
470   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   403           12              0             
471   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   404           391             0             
472   MongoDB         mongodb-20260428-151122   0.887            1995-08-08   500           2               198           
473   MongoDB         mongodb-20260428-151122   0.887            1995-08-09   200           54345           980791631     
474   MongoDB         mongodb-20260428-151122   0.887            1995-08-09   302           901             74080         
475   MongoDB         mongodb-20260428-151122   0.887            1995-08-09   304           4931            0             
476   MongoDB         mongodb-20260428-151122   0.887            1995-08-09   403           2               0             
477   MongoDB         mongodb-20260428-151122   0.887            1995-08-09   404           279             0             
478   MongoDB         mongodb-20260428-151122   0.887            1995-08-10   200           55022           1034770875    
479   MongoDB         mongodb-20260428-151122   0.887            1995-08-10   302           915             78723         
480   MongoDB         mongodb-20260428-151122   0.887            1995-08-10   304           4993            0             
481   MongoDB         mongodb-20260428-151122   0.887            1995-08-10   404           315             0             
482   MongoDB         mongodb-20260428-151122   0.887            1995-08-10   501           3               0             
483   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   200           55329           1102652670    
484   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   302           894             73672         
485   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   304           4749            0             
486   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   403           9               0             
487   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   404           263             0             
488   MongoDB         mongodb-20260428-151122   0.887            1995-08-11   501           2               0             
489   MongoDB         mongodb-20260428-151122   0.887            1995-08-12   200           33644           695521790     
490   MongoDB         mongodb-20260428-151122   0.887            1995-08-12   302           840             74429         
491   MongoDB         mongodb-20260428-151122   0.887            1995-08-12   304           3389            0             
492   MongoDB         mongodb-20260428-151122   0.887            1995-08-12   403           2               0             
493   MongoDB         mongodb-20260428-151122   0.887            1995-08-12   404           196             0             
494   MongoDB         mongodb-20260428-151122   0.887            1995-08-13   200           32577           696755817     
495   MongoDB         mongodb-20260428-151122   0.887            1995-08-13   302           724             64986         
496   MongoDB         mongodb-20260428-151122   0.887            1995-08-13   304           2963            0             
497   MongoDB         mongodb-20260428-151122   0.887            1995-08-13   404           216             0             
498   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   200           54002           1083460485    
499   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   302           920             77689         
500   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   304           4653            0             
501   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   400           4               0             
502   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   403           12              0             
503   MongoDB         mongodb-20260428-151122   0.887            1995-08-14   404           287             0             
504   MongoDB         mongodb-20260428-151122   0.887            1995-08-15   200           53390           1054335616    
505   MongoDB         mongodb-20260428-151122   0.887            1995-08-15   302           968             81231         
506   MongoDB         mongodb-20260428-151122   0.887            1995-08-15   304           4162            0             
507   MongoDB         mongodb-20260428-151122   0.887            1995-08-15   404           327             0             
508   MongoDB         mongodb-20260428-151122   0.887            1995-08-16   200           51435           994583212     
509   MongoDB         mongodb-20260428-151122   0.887            1995-08-16   302           787             68400         
510   MongoDB         mongodb-20260428-151122   0.887            1995-08-16   304           4170            0             
511   MongoDB         mongodb-20260428-151122   0.887            1995-08-16   403           2               0             
512   MongoDB         mongodb-20260428-151122   0.887            1995-08-16   404           259             0             
513   MongoDB         mongodb-20260428-151122   0.887            1995-08-17   200           52915           1045863418    
514   MongoDB         mongodb-20260428-151122   0.887            1995-08-17   302           898             80061         
515   MongoDB         mongodb-20260428-151122   0.887            1995-08-17   304           4904            0             
516   MongoDB         mongodb-20260428-151122   0.887            1995-08-17   404           271             0             
517   MongoDB         mongodb-20260428-151122   0.887            1995-08-18   200           50438           905331768     
518   MongoDB         mongodb-20260428-151122   0.887            1995-08-18   302           871             73623         
519   MongoDB         mongodb-20260428-151122   0.887            1995-08-18   304           4679            0             
520   MongoDB         mongodb-20260428-151122   0.887            1995-08-18   404           256             0             
521   MongoDB         mongodb-20260428-151122   0.887            1995-08-18   501           2               0             
522   MongoDB         mongodb-20260428-151122   0.887            1995-08-19   200           28385           579489658     
523   MongoDB         mongodb-20260428-151122   0.887            1995-08-19   302           542             47522         
524   MongoDB         mongodb-20260428-151122   0.887            1995-08-19   304           2957            0             
525   MongoDB         mongodb-20260428-151122   0.887            1995-08-19   403           1               0             
526   MongoDB         mongodb-20260428-151122   0.887            1995-08-19   404           209             0             
527   MongoDB         mongodb-20260428-151122   0.887            1995-08-20   200           29204           609990692     
528   MongoDB         mongodb-20260428-151122   0.887            1995-08-20   302           478             42282         
529   MongoDB         mongodb-20260428-151122   0.887            1995-08-20   304           2961            0             
530   MongoDB         mongodb-20260428-151122   0.887            1995-08-20   404           312             0             
531   MongoDB         mongodb-20260428-151122   0.887            1995-08-20   501           8               0             
532   MongoDB         mongodb-20260428-151122   0.887            1995-08-21   200           49887           920340141     
533   MongoDB         mongodb-20260428-151122   0.887            1995-08-21   302           889             74653         
534   MongoDB         mongodb-20260428-151122   0.887            1995-08-21   304           4459            0             
535   MongoDB         mongodb-20260428-151122   0.887            1995-08-21   404           305             0             
536   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   200           52186           943017455     
537   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   302           897             76378         
538   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   304           4377            0             
539   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   400           1               0             
540   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   403           11              0             
541   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   404           288             0             
542   MongoDB         mongodb-20260428-151122   0.887            1995-08-22   501           2               0             
543   MongoDB         mongodb-20260428-151122   0.887            1995-08-23   200           52193           953220890     
544   MongoDB         mongodb-20260428-151122   0.887            1995-08-23   302           981             79618         
545   MongoDB         mongodb-20260428-151122   0.887            1995-08-23   304           4578            0             
546   MongoDB         mongodb-20260428-151122   0.887            1995-08-23   404           345             0             
547   MongoDB         mongodb-20260428-151122   0.887            1995-08-24   200           46496           804397469     
548   MongoDB         mongodb-20260428-151122   0.887            1995-08-24   302           810             66586         
549   MongoDB         mongodb-20260428-151122   0.887            1995-08-24   304           4824            0             
550   MongoDB         mongodb-20260428-151122   0.887            1995-08-24   404           420             0             
551   MongoDB         mongodb-20260428-151122   0.887            1995-08-24   501           2               0             
552   MongoDB         mongodb-20260428-151122   0.887            1995-08-25   200           51179           969988795     
553   MongoDB         mongodb-20260428-151122   0.887            1995-08-25   302           865             75589         
554   MongoDB         mongodb-20260428-151122   0.887            1995-08-25   304           4833            0             
555   MongoDB         mongodb-20260428-151122   0.887            1995-08-25   403           29              0             
556   MongoDB         mongodb-20260428-151122   0.887            1995-08-25   404           415             0             
557   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   200           27852           588742113     
558   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   302           524             47597         
559   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   304           2858            0             
560   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   403           2               0             
561   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   404           366             0             
562   MongoDB         mongodb-20260428-151122   0.887            1995-08-26   501           6               0             
563   MongoDB         mongodb-20260428-151122   0.887            1995-08-27   200           28667           575922482     
564   MongoDB         mongodb-20260428-151122   0.887            1995-08-27   302           561             48434         
565   MongoDB         mongodb-20260428-151122   0.887            1995-08-27   304           3178            0             
566   MongoDB         mongodb-20260428-151122   0.887            1995-08-27   403           47              0             
567   MongoDB         mongodb-20260428-151122   0.887            1995-08-27   404           370             0             
568   MongoDB         mongodb-20260428-151122   0.887            1995-08-28   200           48597           842088024     
569   MongoDB         mongodb-20260428-151122   0.887            1995-08-28   302           992             84363         
570   MongoDB         mongodb-20260428-151122   0.887            1995-08-28   304           5496            0             
571   MongoDB         mongodb-20260428-151122   0.887            1995-08-28   403           1               0             
572   MongoDB         mongodb-20260428-151122   0.887            1995-08-28   404           410             0             
573   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   200           59217           1089120944    
574   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   302           1293            108577        
575   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   304           7044            0             
576   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   403           12              0             
577   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   404           420             0             
578   MongoDB         mongodb-20260428-151122   0.887            1995-08-29   501           2               0             
579   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   200           69052           1288568632    
580   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   302           1897            164019        
581   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   304           9097            0             
582   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   400           1               0             
583   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   403           22              0             
584   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   404           571             0             
585   MongoDB         mongodb-20260428-151122   0.887            1995-08-30   500           1               83            
586   MongoDB         mongodb-20260428-151122   0.887            1995-08-31   200           74857           1426722969    
587   MongoDB         mongodb-20260428-151122   0.887            1995-08-31   302           2325            201134        
588   MongoDB         mongodb-20260428-151122   0.887            1995-08-31   304           12413           0             
589   MongoDB         mongodb-20260428-151122   0.887            1995-08-31   400           4               0             
590   MongoDB         mongodb-20260428-151122   0.887            1995-08-31   404           526             0             

--- MapReduce ---
id    pipeline_name   run_id                      execution_time   log_date     status_code   request_count   total_bytes   
----------------------------------------------------------------------------------------------------------------------------
1     MapReduce       mapreduce-20260428-151021   5.655            1995-07-01   200           58033           1617409574    
2     MapReduce       mapreduce-20260428-151021   5.655            1995-07-01   302           2568            218465        
3     MapReduce       mapreduce-20260428-151021   5.655            1995-07-01   304           3797            0             
4     MapReduce       mapreduce-20260428-151021   5.655            1995-07-01   404           316             0             
5     MapReduce       mapreduce-20260428-151021   5.655            1995-07-02   200           54492           1531584293    
